action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-13.758242    3.1208792  -2.5054946  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-5.584576   2.7560863  2.1969461 -3.1957583 14.235103  -1.3981459
 27.610546 ]",1.4,42,0,42,0
"[-14.10989     3.1208792  -2.5054946  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-5.790339   2.7736197  2.210917  -3.215883  14.324324  -1.4069791
 27.610546 ]",1.4333333,43,0,43,0
"[-14.461538    3.2087913  -2.5054946  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-6.053433   2.793641   2.2268322 -3.2385678 14.424286  -1.4167616
 27.610546 ]",1.4666667,44,0,44,0
"[-14.549451    3.2087913  -2.5054946  -3.5164835  15.604396   -1.5384616
  28.263737 ]","[-6.3582897  2.8141792  2.2434545 -3.2613459 14.524883  -1.4268409
 27.610546 ]",1.5,45,0,45,0
"[-14.725275    3.2087913  -2.5054946  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-6.6568108  2.8328001  2.2584927 -3.280631  14.61063   -1.4353689
 27.610546 ]",1.5333333,46,0,46,0
"[-15.164835    3.2087913  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-6.9170356  2.8479948  2.270696  -3.2957628 14.677395  -1.4420065
 27.610546 ]",1.5666667,47,0,47,0
"[-15.868132    3.2087913  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-7.240201   2.8658748  2.2848911 -3.3126493 14.751842  -1.4490424
 27.643637 ]",1.6,48,0,48,0
"[-16.395605    3.2087913  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-7.599194   2.8852844  2.2994602 -3.3295271 14.826338  -1.456443
 27.610546 ]",1.6333333,49,0,49,0
"[-16.65934     3.2087913  -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-7.907906   2.9016008  2.311004  -3.342853  14.88472   -1.4625211
 27.610546 ]",1.6666666,50,0,50,0
"[-17.010988    3.2087913  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-8.278994   2.9201741  2.3233297 -3.3572726 14.948544  -1.468811
 27.610546 ]",1.7,51,0,51,0
"[-17.714285    3.2967033  -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-8.659225   2.9378774  2.334221  -3.370624  15.007629  -1.4745162
 27.610546 ]",1.7333333,52,0,52,0
"[-18.417582    3.4725275  -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-8.987225   2.9526436  2.3423994 -3.3810594 15.054661  -1.4791276
 27.610546 ]",1.7666667,53,0,53,0
"[-19.208792    3.5604396  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.263737 ]","[-9.38076    2.9694562  2.3509383 -3.392512  15.10554   -1.4842649
 27.610546 ]",1.8,54,0,54,0
"[-19.736263    3.6483517  -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-9.71855    2.9831553  2.3573697 -3.4013453 15.145187  -1.4881897
 27.610546 ]",1.8333334,55,0,55,0
"[-20.263737    3.7362638  -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-10.062538    2.997194    2.3631687  -3.4096951  15.181571   -1.4918433
  27.610546 ]",1.8666667,56,0,56,0
"[-20.527473    3.8241758  -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-10.479679    3.015883    2.3693144  -3.418681   15.2211     -1.4956071
  27.648727 ]",1.9,57,0,57,0
"[-20.879122    3.912088   -2.3296704  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-10.90871     3.0370944   2.3748145  -3.4269714  15.257695   -1.4992014
  27.615637 ]",1.9333333,58,0,58,0
"[-21.318682    4.         -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-11.280723    3.0570273   2.378948   -3.4333887  15.286144   -1.5022193
  27.615637 ]",1.9666667,59,0,59,0
"[-21.758242    4.087912   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-11.660383    3.0793264   2.3827076  -3.4395092  15.312526   -1.5048302
  27.615637 ]",2.0,60,0,60,0
"[-22.197802    4.175824   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.263737 ]","[-12.185639    3.113047    2.3869429  -3.4470875  15.345027   -1.5081109
  27.615637 ]",2.0333333,61,0,61,0
"[-22.54945     4.175824   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-12.574553    3.1406622   2.389268   -3.4521399  15.366381   -1.5104082
  27.615637 ]",2.0666666,62,0,62,0
"[-22.54945     4.175824   -2.4175825  -3.4285715  15.692307   -1.5384616
  28.175825 ]","[-13.038012    3.175994    2.3917427  -3.4577093  15.389904   -1.512858
  27.615637 ]",2.1,63,0,63,0
"[-22.637363    4.175824   -2.4175825  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-13.432894    3.2088032   2.393694   -3.4619565  15.408596   -1.5146891
  27.615637 ]",2.1333334,64,0,64,0
"[-23.076923    4.175824   -2.4175825  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-13.829326    3.2432103   2.3955023  -3.4660425  15.426424   -1.5164438
  27.615637 ]",2.1666667,65,0,65,0
"[-23.868132    4.175824   -2.5054946  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-14.297305    3.285796    2.397467   -3.470086   15.446278   -1.5183343
  27.615637 ]",2.2,66,0,66,0
"[-24.483517    4.175824   -2.5934067  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-14.72565     3.326104    2.3991666  -3.473036   15.463486   -1.519911
  27.615637 ]",2.2333333,67,0,67,0
"[-24.571428    4.175824   -2.5934067  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-15.078368    3.3596816   2.4004583  -3.475257   15.476913   -1.5211402
  27.615637 ]",2.2666667,68,0,68,0
"[-24.571428    4.175824   -2.6813188  -3.5164835  15.604396   -1.5384616
  28.263737 ]","[-15.534036    3.4034026   2.4022462  -3.4781902  15.492672   -1.5226237
  27.615637 ]",2.3,69,0,69,0
"[-24.571428    4.175824   -2.945055   -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-15.954895    3.4433436   2.4047618  -3.4807417  15.506092   -1.5239037
  27.615637 ]",2.3333333,70,0,70,0
"[-24.571428    4.175824   -2.945055   -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-16.37676     3.482496    2.4085894  -3.48309    15.518858   -1.5250735
  27.615637 ]",2.3666666,71,0,71,0
"[-24.571428    4.2637362  -3.1208792  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-16.829967    3.5242455   2.4142525  -3.485599   15.530574   -1.5262434
  27.615637 ]",2.4,72,0,72,0
"[-24.483517    4.3516483  -3.3846154  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-17.24256     3.5616302   2.4219074  -3.4877353  15.540195   -1.5272183
  27.615637 ]",2.4333334,73,0,73,0
"[-24.131868    4.3516483  -3.5604396  -3.4285715  15.692307   -1.5384616
  28.175825 ]","[-17.580267    3.5917134   2.4308882  -3.4894054  15.547451   -1.5280236
  27.615637 ]",2.4666667,74,0,74,0
"[-23.868132    4.3516483  -4.         -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-18.007074    3.6298938   2.4461644  -3.4914484  15.556251   -1.5289731
  27.615637 ]",2.5,75,0,75,0
"[-23.428572    4.3516483  -4.7032967  -3.4285715  15.604396   -1.5384616
  28.175825 ]","[-18.387802    3.66409     2.4648194  -3.4932115  15.563871   -1.529753
  27.615637 ]",2.5333333,76,0,76,0
"[-23.076923    4.175824   -4.879121   -3.4285715  15.604396   -1.5384616
  28.175825 ]","[-18.752636    3.6985855   2.4888315  -3.4946356  15.570814   -1.5304735
  27.615637 ]",2.5666666,77,0,77,0
"[-22.813187    4.087912   -4.7912087  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-19.126905    3.73544     2.5228307  -3.4955258  15.577927   -1.5311601
  27.615637 ]",2.6,78,0,78,0
"[-22.637363    4.         -4.6153846  -3.5164835  15.604396   -1.5384616
  28.263737 ]","[-19.449417    3.7686164   2.5645938  -3.49606    15.583962   -1.5317535
  27.615637 ]",2.6333334,79,0,79,0
"[-22.461538    4.         -4.175824   -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-19.747156    3.800848    2.6192195  -3.496043   15.588599   -1.5322791
  27.615637 ]",2.6666667,80,0,80,0
"[-22.021978    3.8241758  -4.175824   -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-19.975817    3.8253634   2.6731381  -3.4958904  15.592032   -1.5327454
  27.615637 ]",2.7,81,0,81,0
"[-20.527473    3.7362638  -3.8241758  -3.5164835  15.692307   -1.5384616
  28.263737 ]","[-20.265894    3.8561604   2.7572625  -3.4956021  15.59611    -1.533254
  27.648727 ]",2.7333333,82,0,82,0
"[-18.681318    3.6483517  -3.5604396  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-20.504934    3.8802814   2.8381371  -3.495441   15.59923    -1.5336863
  27.610546 ]",2.7666667,83,0,83,0
"[-17.89011     3.4725275  -3.4725275  -3.5164835  15.692307   -1.5384616
  28.175825 ]","[-20.669239    3.8959315   2.8991668  -3.4953985  15.601205   -1.5340677
  27.610546 ]",2.8,84,0,84,0
"[-17.45055     3.2967033  -3.4725275  -3.5164835  15.604396   -1.5384616
  28.175825 ]","[-20.866306    3.912846    2.9806602  -3.4955342  15.60374    -1.5344577
  27.648727 ]",2.8333333,85,0,85,0
